Micro,Loadings_p,Loadings_o,VIP
GC26968,-769.41179573376,-111.761668604749,0.682498846779309
GC26969,-13.5268031216884,3.92325581585688,0.0254727904098149
GC26970,222.18463542157,-19.3740225724739,0.211189559157519
GC26971,0.752067657863267,1.90858741663084,0.00618811244213172
GC26972,-1660.36318854947,163.696606420911,1.49041782868082
GC26973,2104.64855469164,-87.4826488058929,2.05481177576635
GC26974,-17.6972029529428,30.6678849139741,0.192009104735209
GC26975,-229.059958509965,-20.2558972791764,0.326440795158479
GC26976,72.0104183787432,45.2826798775372,0.014013721562432
GC26977,-859.590350238278,-81.7357908790941,0.805099744468794
GC26978,-508.516334345514,32.3032026415299,0.524813583394495
GC26979,-94.2240886262603,-42.7861040887949,0.21024102363711
GC26980,13.3866993195127,1.47681706698211,0.00898097291501673
GC26981,-271.026223205047,-45.3269658598875,0.381329957950588
GC26982,151.563648624865,-27.1594825367893,0.175590960956706
GC26983,-3253.12065318186,-4236.15239140145,3.52466940553591
GC26984,-188.517879734597,169.916681133219,0.19755402961449
GC26985,5398.6005489419,396.793094478069,5.76386844404521
GC26986,59.3426210133469,-2.95228133090935,0.0536211442491754
GC26987,-947.859325989676,-276.244077751001,0.867009558430848
GC26988,-568.946942318722,-103.817199939081,0.486394813456019
GC26989,60.5183393825402,12.8062676618701,0.0209847085451201
GC26990,41.9797595005119,8.32258121489995,0.0444202447320587
GC26991,-24.767324557763,-43.7163428117565,0.012582602434718
GC26992,-87.9985008488825,-112.241961929429,0.0383355372598985
GC26993,-901.811181556867,-168.695696519867,1.07694636277062
GC26994,346.650485358721,77.3764907227138,0.339708050334881
GC26995,-127.026354038295,-11.9836568422373,0.147582393279546
GC26996,0.982706154163777,-2.38747554659975,0.0127924414480244
GC26997,-15.0838015982154,74.916201220801,0.108377629244127
GC26998,2466.69019696032,-163.739352060996,2.78976731197466
GC26999,37.1997767084269,19.5855599829316,0.0537646626063496
GC27000,-389.778893199278,-178.886429930021,0.403959006242152
GC27001,-232.306201265568,-72.0540999026735,0.318425659501839
GC27002,-0.571914746443708,-0.065423974416817,0.00261140462281074
GC27003,338.67229700424,136.208434349724,0.250426614253419
