Metabo,Loadings_p,Loadings_o,VIP
MT15811,-2.70447129853049,-0.319883557521466,0.409065202179313
MT15812,1.80017328464019,0.575937057477773,0.529848012234553
MT15813,0.173466095112312,-0.906041379938236,0.0721879768551724
MT15814,-0.940026610891904,-0.105543551198188,0.102119577014635
MT15815,1.05164748305127,-0.000203833376736129,0.329951874699009
MT15816,-4.1438145527349,-1.20687269028284,0.532195588717649
MT15817,0.535673736227265,0.356318846617527,0.0476558026068297
MT15818,0.378026010627893,-0.66994463124431,0.159283064377999
MT15819,-17.9860108107116,-19.7798862884742,3.28320309043259
MT15820,-16.4918733880372,-5.33740201497089,2.43619749533189
MT15821,0.369015511061318,0.002508460837121,0.0573982450116739
MT15822,-0.924294295962642,-0.0799163226582098,0.0734791439208758
MT15823,-11.6652249608684,-8.48364972658648,2.04955164856614
MT15824,-0.591721857169891,0.274922711171079,0.0104467153497735
MT15825,-0.232654369441402,-0.177672611128992,0.0509424096831621
MT15826,-3.73415682508386,-0.68306770254403,0.706503142587457
MT15827,-0.162072926800491,-0.00535945979950592,0.0429606496406399
MT15829,0.174950347476402,-0.00935950845885036,0.0390871484435322
MT15830,-5.15820205502638,-1.8020642900015,0.934218061447677
MT15831,-9.96193936493804,-3.09219810332413,1.61196339211722
MT15832,0.164551103560985,-0.00766556804363011,0.0627976709227925
MT15833,0.81858825862234,0.37246487222237,0.213746838785805
MT15834,0.00657875046240996,0.0425898628835103,0.0254712048415812
MT15835,5.1790699907081,2.80512650193488,0.305889215747285
MT15836,-4.13313013788971,-0.0734740073474425,0.597106078475227
MT15837,-0.499288315876827,0.0909029858913784,0.0845127533914224
MT15838,-2.53309845414355,0.6162883320305,0.397679456236303
MT15839,-0.380923031901505,0.565088027519399,0.025823341314045
MT15840,1.43819372930092,0.266715389239368,0.411530157486563
MT15841,-1.4172869700645,-0.136898715030428,0.131112146580859
MT15842,-10.0723276547526,-1.41177927977365,1.42591795583194
MT15843,-0.176535702147695,0.020813356980008,0.0196022636338439
MT15844,-3.89953533100438,-0.392779432315904,0.526209268685757
MT15845,0.031600550495934,-0.555321974028483,0.106110457035896
MT15846,-1.28019504492184,0.108217199964454,0.171490462090094
MT15847,-0.0714359957919883,-1.69597350977131,0.00856865416329731
MT15848,-23.4394388321447,-12.8707035011292,4.07961841232259
MT15849,-0.999511581102827,0.119198259102753,0.464115870707892
MT15850,-1.59684167466881,-0.0630286947241475,0.0435475437614137
MT15851,0.489222663480425,0.0382625028112412,0.230297252991624
MT15852,-1.49983497942906,0.25711003231027,0.203887017556806
MT15853,1.43922272507187,-2.2908581749098,0.484187649638354
MT15854,0.451691938720841,-0.928002977551586,0.201422062249555
MT15855,-1.28342767577824,-0.31821340107703,0.324904585260356
MT15856,6.53598826029991,-1.208450992282,0.816252343172149
